code word doc_freq count
175 america 4 6
335 b 4 6
361 band 4 6
654 central 4 6
800 commercial 4 6
2007 injury 4 6
2078 irish 4 6
2308 leader 4 6
2396 los 4 6
2687 must 4 6
3181 project 4 6
3348 remain 4 6
3400 return 4 6
3620 share 4 6
3638 ship 4 6
3802 stage 4 6
3994 ten 4 6
4289 visit 4 6
4301 wale 4 6
4328 way 4 6
4330 we 4 6
23 academic 4 5
184 amp 4 5
233 appointment 4 5
586 california 4 5
611 capture 4 5
629 carry 4 5
852 conflict 4 5
873 construction 4 5
957 cross 4 5
1072 describe 4 5
1212 e 4 5
1216 earn 4 5
1223 eastern 4 5
1287 employ 4 5
1339 escape 4 5
1416 face 4 5
1423 fail 4 5
1433 famous 4 5
1580 free 4 5
1664 get 4 5
1746 guard 4 5
1944 impact 4 5
2037 interest 4 5
2075 ireland 4 5
2457 man 4 5
2709 navy 4 5
2829 offer 4 5
2885 originally 4 5
3160 problem 4 5
3215 purpose 4 5
3337 relate 4 5
3372 require 4 5
3848 street 4 5
4069 together 4 5
4113 transport 4 5
4419 young 4 5
38 achieve 4 4
73 advance 4 4
97 age 4 4
170 altitude 4 4
307 attend 4 4
753 co 4 4
773 collection 4 4
980 d 4 4
1002 date 4 4
1087 develop 4 4
1111 direct 4 4
1206 duty 4 4
1213 each 4 4
1690 gold 4 4
1768 half 4 4
2002 initially 4 4
2281 land 4 4
2294 late 4 4
2374 live 4 4
2436 main 4 4
2459 management 4 4
2499 marry 4 4
2570 michael 4 4
2644 mostly 4 4
2745 next 4 4
2864 operate 4 4
3141 previously 4 4
3151 principle 4 4
3153 prior 4 4
3362 replace 4 4
3424 rise 4 4
3602 set 4 4
3745 space 4 4
3873 subsequently 4 4
4053 thus 4 4
4167 ultimately 4 4
4359 whose 4 4
1593 fuel 3 28
695 chess 3 25
929 court 3 17
1702 govern 3 17
2357 limit 3 16
2088 islamic 3 15
1020 decision 3 14
258 army 3 13
2462 mandate 3 12
3562 secretary 3 12
4441 zone 3 11
595 campaign 3 10
1071 descent 3 10
1708 graduate 3 10
2118 james 3 10
2753 night 3 10
3376 reserve 3 10
3753 special 3 10
653 center 3 9
2089 island 3 9
2798 now 3 9
3567 security 3 9
478 board 3 8
1222 east 3 8
1285 emperor 3 8
1307 england 3 8
2220 km 3 8
2646 motor 3 8
2811 object 3 8
3608 several 3 8
4089 tour 3 8
524 bring 3 7
1218 earth 3 7
1378 exchange 3 7
1624 gas 3 7
2536 medical 3 7
2737 network 3 7
3268 range 3 7
3339 relation 3 7
3482 russian 3 7
3781 sport 3 7
3793 squad 3 7
58 addition 3 6
300 athletic 3 6
633 case 3 6
971 current 3 6
1574 france 3 6
2029 intend 3 6
2211 king 3 6
2334 less 3 6
2358 limitation 3 6
2362 line 3 6
2593 ministry 3 6
2836 oil 3 6
3114 practice 3 6
3130 presence 3 6
3435 rock 3 6
3512 san 3 6
3606 seven 3 6
3646 should 3 6
3667 similar 3 6
3713 social 3 6
201 angeles 3 5
292 assistant 3 5
421 believe 3 5
655 centre 3 5
830 comprise 3 5
948 crisis 3 5
1151 division 3 5
1333 era 3 5
1347 estimate 3 5
1356 europe 3 5
1453 federal 3 5
1495 financial 3 5
1931 if 3 5
2061 invest 3 5
2098 istvan 3 5
2169 just 3 5
2404 low 3 5
2520 maximum 3 5
2547 meeting 3 5
2566 metre 3 5
2815 obtain 3 5
3044 piece 3 5
3110 powerful 3 5
3260 railway 3 5
3344 relevant 3 5
3405 review 3 5
3503 saint 3 5
3852 strike 3 5
3880 success 3 5
3982 technology 3 5
4006 territory 3 5
4013 texas 3 5
4051 throw 3 5
4077 too 3 5
90 africa 3 4
98 agency 3 4
168 although 3 4
181 among 3 4
252 arise 3 4
289 assign 3 4
329 average 3 4
412 behind 3 4
424 below 3 4
490 book 3 4
601 cancel 3 4
648 celebrate 3 4
755 coal 3 4
914 cost 3 4
951 critical 3 4
964 cultural 3 4
975 cut 3 4
1019 decide 3 4
1110 diplomatic 3 4
1150 divide 3 4
1265 electronic 3 4
1457 feel 3 4
1563 foundation 3 4
1582 frequent 3 4
1684 global 3 4
1703 governance 3 4
1724 green 3 4
1827 here 3 4
1841 hill 3 4
1859 holder 3 4
1865 holy 3 4
1880 horse 3 4
2006 injure 3 4
2052 introduce 3 4
2282 landscape 3 4
2299 latter 3 4
2388 london 3 4
2389 long 3 4
2394 lord 3 4
2526 mean 3 4
2620 moment 3 4
2784 notable 3 4
2987 pay 3 4
3011 performance 3 4
3209 publish 3 4
3293 reason 3 4
3319 refugee 3 4
3334 reign 3 4
3346 religious 3 4
3390 restriction 3 4
3395 retail 3 4
3401 reveal 3 4
3416 richard 3 4
3505 sale 3 4
3565 sector 3 4
3657 significant 3 4
3757 specie 3 4
3769 spend 3 4
3795 square 3 4
4157 type 3 4
4259 very 3 4
4270 video 3 4
4381 winter 3 4
45 action 3 3
55 adam 3 3
59 additionally 3 3
64 admiral 3 3
99 agent 3 3
127 al 3 3
139 ali 3 3
161 almost 3 3
172 always 3 3
227 appear 3 3
239 arab 3 3
254 armed 3 3
267 arrival 3 3
293 associate 3 3
305 attack 3 3
319 australia 3 3
323 authority 3 3
430 benefit 3 3
460 birthday 3 3
551 build 3 3
610 captain 3 3
659 certain 3 3
668 champion 3 3
682 charles 3 3
710 chok 3 3
739 class 3 3
821 competitor 3 3
841 concurrent 3 3
867 consist 3 3
885 contract 3 3
988 dan 3 3
1005 david 3 3
1009 deal 3 3
1023 declare 3 3
1046 demand 3 3
1112 direction 3 3
1123 discipline 3 3
1208 dynamic 3 3
1245 effort 3 3
1261 electric 3 3
1320 entry 3 3
1365 eventually 3 3
1369 every 3 3
1408 extensive 3 3
1415 f 3 3
1494 finance 3 3
1504 fire 3 3
1513 fixture 3 3
1619 games 3 3
1676 girl 3 3
1687 goal 3 3
1716 grant 3 3
1847 historian 3 3
1851 hit 3 3
1866 home 3 3
1926 identify 3 3
1958 imre 3 3
1975 independence 3 3
1998 infrastructure 3 3
2022 institution 3 3
2047 interview 3 3
2105 itself 3 3
2210 kind 3 3
2397 lose 3 3
2407 ltd 3 3
2458 manage 3 3
2533 medal 3 3
2574 mid 3 3
2595 minsk 3 3
2741 never 3 3
2769 nong 3 3
2845 olympiad 3 3
3135 president 3 3
3175 profit 3 3
3193 propose 3 3
3217 pursue 3 3
3231 qualification 3 3
3232 qualify 3 3
3233 qualifying 3 3
3323 regard 3 3
3370 republic 3 3
3388 restore 3 3
3398 retire 3 3
3473 ruler 3 3
3537 schedule 3 3
3585 senior 3 3
3604 settle 3 3
3610 severe 3 3
3651 sibling 3 3
3677 sister 3 3
3811 star 3 3
3825 stay 3 3
3828 stem 3 3
3871 subject 3 3
3872 subsequent 3 3
3926 surround 3 3
3928 survive 3 3
3954 table 3 3
4090 tourism 3 3
4097 trace 3 3
4249 vehicle 3 3
4263 via 3 3
4279 village 3 3
4354 white 3 3
4366 wife 3 3
4408 y 3 3
4417 york 3 3
1303 engine 2 72
612 car 2 60
3063 plate 2 56
3247 race 2 48
890 contribution 2 33
2180 kano 2 27
3765 speed 2 23
244 archer 2 22
1219 earthquake 2 16
1282 emirate 2 15
231 apply 2 13
2427 madinawa 2 13
339 bachelor 2 12
2073 iran 2 12
1070 descendant 2 11
2342 liability 2 11
2956 park 2 11
471 block 2 10
136 album 2 9
1444 fault 2 9
1940 imam 2 9
4135 truck 2 9
226 appeal 2 8
679 charger 2 8
1138 displacement 2 8
2363 lineage 2 8
3523 sarkin 2 8
3729 song 2 8
4273 view 2 8
603 candidate 2 7
685 chart 2 7
953 criticism 2 7
1723 greek 2 7
2145 jobawa 2 7
2149 jointly 2 7
2174 kadawa 2 7
2445 makaman 2 7
2449 malamai 2 7
3190 prophet 2 7
3313 reduce 2 7
3429 road 2 7
4081 tort 2 7
928 course 2 6
1047 demetrio 2 6
1448 fc 2 6
1594 fulani 2 6
1693 golf 2 6
1798 hausa 2 6
1985 indonesian 2 6
2343 liable 2 6
2433 magnitude 2 6
2600 miss 2 6
2830 office 2 6
2905 outlet 2 6
2994 pedro 2 6
3163 proceeding 2 6
3445 roman 2 6
3568 see 2 6
3721 solar 2 6
251 argue 2 5
482 body 2 5
781 colonel 2 5
854 connect 2 5
1187 drive 2 5
1200 duke 2 5
1498 finish 2 5
1526 fly 2 5
1695 gonzalez 2 5
1920 ibn 2 5
2087 islam 2 5
2159 jozef 2 5
2364 link 2 5
2613 modern 2 5
2673 muhammad 2 5
2752 nigeria 2 5
2781 norway 2 5
3004 per 2 5
3091 port 2 5
3327 regiment 2 5
3333 regulation 2 5
3389 restrict 2 5
3556 seat 2 5
3835 stock 2 5
4007 test 2 5
4110 transition 2 5
4313 warawa 2 5
4418 yorkshire 2 5
143 aliyu 2 4
147 allege 2 4
377 barcelona 2 4
389 basin 2 4
428 beneath 2 4
709 choice 2 4
733 clan 2 4
751 cm 2 4
754 coach 2 4
767 cold 2 4
795 command 2 4
858 conrad 2 4
1139 display 2 4
1170 donate 2 4
1181 drama 2 4
1231 economy 2 4
1305 engineering 2 4
1329 episode 2 4
1403 export 2 4
1410 extra 2 4
1420 factory 2 4
1527 fm 2 4
1538 foot 2 4
1576 francisco 2 4
1650 geological 2 4
1796 hashim 2 4
1884 host 2 4
1955 impose 2 4
2082 irwin 2 4
2160 jr 2 4
